UserAgent,Parent,Browser,Version,MajorVersion,MinorVersion,Platform,AuthenticodeUpdate,CSSVersion,Frames,IFrames,Tables,Cookies,BackgroundSounds,VBScript,JavaScript,JavaApplets,ActiveXControls,CDF,AOL,Beta,Win16,Crawler,Stripper,WAP,NetCLR
[Mozilla/5.0 Gecko/???????? Firebird Browser/0.6],Firebird,,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 Gecko/???????? Mozilla Firebird/0.6],Firebird,,,,,,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Galeon 0.1],Galeon 0.1,Galeon,0,0,,,,2,true,true,true,true,false,false,true,true,false,false,false,true,false,false,false,false,false
[Mozilla/5.0 Galeon/0.11.1 (X11; *; ?;) Gecko/????????],Galeon 0.1,,,,11.1,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 Galeon/0.11.2 (X11; *; ?;) Gecko/????????],Galeon 0.1,,,,11.2,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 Galeon/0.11.3 (X11; *; ?;) Gecko/????????],Galeon 0.1,,,,11.3,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 Galeon/0.11.5 (X11; *; ?;) Gecko/????????],Galeon 0.1,,,,11.5,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 Galeon/0.12 (X11; *; ?;) Gecko/????????],Galeon 0.1,,,,12,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 Galeon/0.12.1 (X11; *; ?;) Gecko/????????],Galeon 0.1,,,,12.1,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 Galeon/0.12.2 (X11; *; ?;) Gecko/????????],Galeon 0.1,,,,12.2,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 Galeon/0.12.4 (X11; *; ?;) Gecko/????????],Galeon 0.1,,,,12.4,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 Galeon/0.12.5 (X11; *; ?;) Gecko/????????],Galeon 0.1,,,,12.5,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 Galeon/0.12.6 (X11; *; ?;) Gecko/????????],Galeon 0.1,,,,12.6,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 Galeon/0.12.7 (X11; *; ?;) Gecko/????????],Galeon 0.1,,,,12.7,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 Galeon/0.12.8 (X11; *; ?;) Gecko/????????],Galeon 0.1,,,,12.8,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Galeon 1.0],Galeon 1.0,Galeon,1,1,0,,,2,true,true,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false
[Mozilla/5.0 (X11; U; Linux*) Gecko/* Galeon/1.*],Galeon 1.0,,,,,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,true,default,default,default,default,default
[Mozilla/5.0 (X11; U; Linux*; Debian/*) Gecko/* Galeon/1.*],Galeon 1.0,,,,,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 Galeon/1.* (X11; Linux*; U;) Gecko/*],Galeon 1.0,,,,,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Lycoris Desktop/LX],Lycoris Desktop/LX,Lycoris Desktop/LX,,,,,,0,true,true,true,true,false,false,true,true,false,false,false,false,false,true,false,false,false
[Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.*: Desktop/LX Amethyst) Gecko/????????],Lycoris Desktop/LX,,1.1,1,1,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.*; Desktop/LX Amethyst) Gecko/????????],Lycoris Desktop/LX,,1.0,1,0,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Phoenix],Phoenix,Phoenix,0,0,0,,,2,true,true,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false
[Mozilla/5.0 (Windows; ?; Win 9x 4.90; *; rv:1.*) Gecko/???????? Phoenix/0.4*],Phoenix,,0.4,,4,WinME,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; Win 9x 4.90; *; rv:1.*) Gecko/???????? Phoenix/0.5*],Phoenix,,0.5,,5,WinME,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; Win98; *; rv:1.*) Gecko/???????? Phoenix/0.4*],Phoenix,,0.4,,4,Win98,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
